ID,TARGET
2,0.04446579
5,0.05286631
6,0.0014167238
7,0.010079957
9,0.0015994865
11,0.24809156
12,0.065437004
15,0.16616492
16,0.035791807
17,0.017332772
19,0.031565417
21,0.0032934207
22,0.030332252
24,0.011115171
27,0.012910571
28,0.026137006
30,0.13714892
33,0.0029315378
35,0.011727323
37,0.02005146
38,0.018545385
40,0.18278433
41,0.015607199
44,0.009614169
46,0.080752455
47,0.008040772
48,0.0029175996
50,0.0036601403
52,0.18451242
53,0.0063131917
55,0.027873097
57,0.0013922533
58,0.013225858
59,0.013013494
62,0.02797753
63,0.01142781
64,0.02423975
65,0.013421946
67,0.01665498
69,0.055513777
70,0.0029852847
71,0.028601903
72,0.0029190693
73,0.0014577376
76,0.006482638
78,0.0025951564
79,0.028461866
81,0.0016950429
85,0.011078892
86,0.0030754446
89,0.03555998
94,0.11632718
96,0.0032351376
97,0.014351277
98,0.0021891575
99,0.019297678
100,0.23583438
103,0.085395955
104,0.005320708
108,0.009451022
110,0.0017628217
112,0.025883704
114,0.04094268
116,0.020492714
117,0.0068573514
119,0.003528753
120,0.0023087051
121,0.0011361944
123,0.03147197
124,0.032089017
126,0.0016366529
128,0.010889094
129,0.0993628
133,0.047033597
138,0.022736335
147,0.030451056
149,0.018344462
158,0.0017799047
160,0.008127783
164,0.037428036
167,0.095599525
168,0.025930636
174,0.009804163
181,0.022480067
185,0.035319813
187,0.0024497479
189,0.012660342
190,0.058505222
194,0.0067875427
197,0.07664907
198,0.01938118
201,0.037307136
205,0.008042407
208,0.14169107
211,0.011160252
216,0.03829618
219,0.06716379
223,0.0041843974
224,0.09301336
226,0.014673476
229,0.0115828635
230,0.011463944
237,0.0188192
238,0.02040271
240,0.10114395
243,0.0015742361
245,0.1088918
246,0.2127516
247,0.0038774183
248,0.0048937886
249,0.0029315378
250,0.26591554
251,0.0014048242
255,0.108439505
256,0.035415243
257,0.079195164
260,0.16185407
261,0.0058047855
263,0.21720132
264,0.15939645
267,0.0073738624
268,0.018524991
272,0.0054164273
274,0.0071890084
275,0.003902691
277,0.26585537
278,0.30372393
280,0.006987922
281,0.029011676
282,0.09422256
283,0.011299479
284,0.07485211
286,0.015164419
290,0.014710951
291,0.032089017
293,0.031646043
295,0.16512541
297,0.0008646613
298,0.078058876
300,0.005173817
304,0.002286626
305,0.0038922653
308,0.0035808808
309,0.0076839677
310,0.004982946
312,0.032089017
313,0.15939645
315,0.006320049
317,0.022115247
318,0.03327375
321,0.011695015
323,0.083407916
325,0.00930184
326,0.013013494
327,0.017189376
328,0.08213665
329,0.017051103
330,0.003238813
331,0.007892626
334,0.046179604
335,0.005975771
336,0.06776164
337,0.0044384426
338,0.043441985
339,0.0147988545
341,0.20221801
343,0.008055131
346,0.0018501785
348,0.0037060746
350,0.3162528
351,0.0008032741
352,0.01824187
357,0.06509917
358,0.011213419
360,0.0059714187
361,0.013013494
364,0.02697744
365,0.036458656
366,0.01697096
367,0.0056728446
368,0.007881533
370,0.0035139068
372,0.0015768334
376,0.0008761307
377,0.00433309
379,0.016222235
380,0.00925867
381,0.09195893
385,0.010329474
386,0.037958715
389,0.053598106
391,0.05307141
392,0.0040516974
393,0.012634998
395,0.019925576
396,0.008505168
397,0.0010543972
398,0.022479104
399,0.045454107
400,0.006881297
401,0.011996223
403,0.005893057
405,0.031980142
406,0.02402625
409,0.0063131917
411,0.010676897
413,0.0034560615
418,0.0038866822
419,0.013471355
422,0.01824187
424,0.23902167
425,0.024977759
427,0.0032351376
430,0.0010013789
431,0.0147988545
434,0.021928318
435,0.032089017
437,0.07472577
438,0.0007975971
439,0.100840524
442,0.01142781
446,0.0156006785
450,0.04633695
451,0.011565665
452,0.011279775
454,0.0011001005
455,0.0032805826
463,0.014628813
464,0.0115877725
465,0.0033410566
467,0.15092494
468,0.040583104
470,0.008568147
472,0.12033051
473,0.01719794
475,0.003207291
476,0.004327543
479,0.015277769
481,0.0035551433
483,0.03636651
484,0.007988893
486,0.03294476
487,0.0018283424
491,0.025266407
494,0.009703188
495,0.001925817
497,0.015745562
498,0.0029339264
499,0.011305474
503,0.02872273
504,0.019737558
505,0.0047219647
506,0.008672418
507,0.013879969
508,0.081019126
509,0.031739794
510,0.003370666
511,0.007083216
512,0.02150314
516,0.004350436
518,0.0391827
519,0.004080978
520,0.008390346
521,0.003628387
522,0.00301737
524,0.09360179
525,0.007992156
526,0.0028043466
528,0.012733356
529,0.033913497
531,0.08380744
532,0.21826346
534,0.17050783
536,0.04288217
539,0.10094325
540,0.017067382
541,0.0017305944
542,0.10962743
545,0.010186097
546,0.003684284
552,0.021080615
556,0.0010460628
557,0.0030124465
559,0.014370951
562,0.014460569
563,0.011182354
565,0.04131398
569,0.0012417122
570,0.08485302
574,0.022558395
575,0.0070832768
585,0.008444082
589,0.0076120156
590,0.014388354
592,0.015188849
593,0.030402277
594,0.0071553895
595,0.011389353
597,0.0041532433
601,0.0023835907
603,0.015835749
604,0.001015419
605,0.030866388
607,0.0033126806
608,0.026654469
610,0.01945436
612,0.09916938
613,0.04932841
615,0.0015507769
616,0.25245604
617,0.031643957
619,0.012940625
620,0.15182826
621,0.0039270665
624,0.031532492
625,0.008127449
628,0.003006096
629,0.18633519
630,0.033837143
632,0.032786038
634,0.001379597
637,0.0156104
638,0.020825813
642,0.021756664
643,0.008896929
644,0.083288245
646,0.0010498071
655,0.010471408
660,0.01719794
664,0.01716282
665,0.08472248
666,0.0028071203
670,0.110486895
671,0.257684
672,0.010241707
675,0.0023134362
676,0.051436447
677,0.04808686
678,0.004594243
680,0.004059272
683,0.16243061
684,0.025363248
685,0.036937594
691,0.07039666
693,0.001230435
696,0.0010606964
698,0.0031435322
699,0.014729147
700,0.016693804
703,0.010507826
704,0.018519044
705,0.007205386
707,0.19108383
709,0.07921267
711,0.19881527
713,0.013013494
716,0.0017573268
719,0.0033857939
721,0.009122137
722,0.0053641456
723,0.009770156
724,0.0028494787
727,0.0012954194
728,0.011094582
729,0.0025118422
733,0.006632499
736,0.008893747
739,0.041701466
742,0.22955303
743,0.013686066
744,0.0044799107
745,0.22955303
747,0.009972538
749,0.03372891
750,0.028411074
751,0.027963938
752,0.0021481877
755,0.004825518
756,0.0011172151
762,0.03153121
763,0.06291942
764,0.013238822
765,0.020758836
766,0.0076704426
769,0.023620335
770,0.15104367
773,0.005328155
774,0.04603966
776,0.013921486
777,0.015825728
778,0.006652254
779,0.012493294
780,0.0017202195
781,0.03799489
786,0.052737303
788,0.004417049
794,0.022615751
796,0.18579866
801,0.08919723
802,0.027525509
803,0.0077765654
804,0.002428636
805,0.0040169572
809,0.039073154
810,0.086605035
817,0.015248141
819,0.0050687515
821,0.008118363
824,0.19041982
825,0.0055825845
826,0.18198343
830,0.004739155
831,0.017841225
832,0.0077137477
833,0.009461098
837,0.022991162
839,0.001170617
840,0.0021184091
841,0.042074833
842,0.0030342315
843,0.0023699035
844,0.0925792
845,0.0156006785
848,0.046139512
853,0.011109455
854,0.0009852992
855,0.003385514
856,0.010816296
861,0.0082097715
865,0.030451056
866,0.0008646613
867,0.010018091
870,0.0016624855
871,0.045263857
872,0.009918276
873,0.014673476
874,0.054910928
875,0.0036718948
876,0.0027143129
879,0.014729147
880,0.003015348
883,0.016998332
884,0.0062843105
886,0.029377969
890,0.0037607874
892,0.021380713
893,0.04949003
894,0.029765485
895,0.025008831
896,0.03471729
897,0.0032241112
899,0.19839063
900,0.009181371
901,0.0054046414
902,0.23761937
905,0.010714743
912,0.061658412
914,0.21885584
915,0.07241576
917,0.15734878
918,0.0034999228
919,0.012278005
921,0.003521134
922,0.0120118605
923,0.002403315
926,0.0013866164
929,0.005460958
930,0.00811566
931,0.08178913
937,0.0033839361
938,0.015738381
939,0.030222446
941,0.039824497
946,0.0074749435
947,0.015807541
950,0.0032972377
951,0.0032693397
952,0.02448232
953,0.014248802
954,0.00090519857
955,0.011389353
956,0.18633519
957,0.035300665
960,0.037698183
963,0.2693857
966,0.014592408
969,0.03162365
971,0.0070725065
972,0.0033277327
975,0.0105493395
980,0.007405898
982,0.124692984
983,0.0018211518
985,0.14442863
987,0.009830965
988,0.0039663897
991,0.010553133
992,0.00095965964
995,0.19980669
996,0.004312085
998,0.0026170237
1001,0.18278433
1002,0.007452114
1004,0.013013494
1005,0.035817858
1010,0.0017388866
1011,0.0014866713
1012,0.0027412456
1013,0.019892981
1014,0.009561066
1015,0.06788281
1016,0.011300891
1022,0.0011323036
1023,0.03802651
1024,0.0030160535
1025,0.018155104
1026,0.15753
1028,0.0063118218
1029,0.010823543
1032,0.086605035
1034,0.02191235
1036,0.008606197
1037,0.0015074343
1039,0.15879121
1042,0.008868111
1045,0.03013299
1046,0.030905096
1050,0.011030874
1052,0.02188858
1055,0.013013494
1057,0.005827168
1058,0.0016676735
1060,0.0017202195
1062,0.007862793
1063,0.029776331
1064,0.035741538
1065,0.014121969
1066,0.003158201
1067,0.17847449
1068,0.034838624
1070,0.09195483
1072,0.017202979
1077,0.2127516
1078,0.014274088
1079,0.0026239145
1081,0.037958715
1082,0.18479127
1093,0.009549662
1094,0.040722337
1102,0.018351784
1103,0.07292872
1106,0.0038067573
1107,0.24809156
1112,0.04141883
1113,0.0024125355
1114,0.017505882
1116,0.0058790008
1118,0.01901209
1120,0.01945436
1121,0.034682512
1128,0.015625194
1130,0.055060003
1132,0.0080847815
1135,0.0052157794
1138,0.0707415
1139,0.0038959456
1141,0.01719794
1143,0.16640313
1146,0.12629335
1148,0.01824187
1149,0.0335491
1151,0.011437069
1152,0.023254702
1153,0.008729199
1155,0.022136584
1157,0.0015877594
1160,0.008715371
1161,0.0022632752
1162,0.028806536
1164,0.060241926
1168,0.008846155
1169,0.0020829837
1174,0.17323259
1176,0.001943075
1177,0.23882712
1178,0.018624311
1180,0.0083486615
1181,0.03961161
1182,0.03649702
1185,0.0126457345
1190,0.0061733234
1194,0.0029323772
1196,0.031450365
1199,0.0073448843
1200,0.021891108
1201,0.0058702203
1202,0.0452713
1206,0.26475492
1207,0.016531069
1208,0.0011028197
1212,0.033695363
1216,0.0014702813
1219,0.01205026
1221,0.013733127
1222,0.0028022777
1225,0.016170265
1227,0.00891443
1230,0.006351311
1231,0.0147988545
1232,0.008419293
1233,0.0022015057
1234,0.05334742
1235,0.01059213
1236,0.10668351
1237,0.0014714446
1238,0.076731354
1239,0.016825987
1240,0.025367856
1241,0.008111443
1244,0.03996129
1245,0.03426775
1247,0.00925867
1250,0.013496315
1251,0.0031417888
1257,0.00805254
1259,0.0017388866
1266,0.1121573
1267,0.23765251
1268,0.0028348647
1270,0.27910355
1272,0.00874145
1273,0.16994484
1276,0.041075233
1278,0.0011087059
1279,0.042879242
1283,0.018162534
1284,0.015277769
1286,0.0035702323
1289,0.026240194
1290,0.0015172897
1292,0.008518356
1293,0.032089017
1294,0.12876236
1296,0.08396822
1298,0.009351445
1299,0.099634394
1301,0.003208648
1304,0.09557642
1306,0.010855424
1308,0.08634823
1310,0.02112639
1311,0.0019705298
1312,0.054545213
1315,0.0034614014
1318,0.07068009
1319,0.0045640357
1320,0.002355939
1323,0.00399411
1324,0.008623294
1325,0.026704362
1326,0.008500264
1329,0.22094283
1331,0.1289187
1332,0.011120088
1335,0.0017673639
1336,0.18479127
1338,0.04741533
1340,0.08471725
1342,0.0023487683
1345,0.008825559
1347,0.0025186697
1349,0.015277769
1350,0.047390915
1351,0.003176644
1354,0.0040850677
1355,0.009997785
1356,0.013013494
1359,0.039456613
1361,0.25399524
1362,0.22365414
1363,0.1575675
1365,0.008621316
1366,0.022674043
1367,0.02872273
1368,0.0034366762
1369,0.0018565782
1370,0.033612188
1371,0.025750462
1372,0.20090315
1374,0.011948037
1375,0.083843544
1376,0.041194737
1379,0.002639936
1380,0.009918276
1383,0.01824187
1387,0.07215036
1388,0.15785408
1389,0.0059852726
1390,0.050566856
1394,0.032089017
1396,0.16558988
1397,0.04589464
1399,0.019884467
1400,0.024141608
