CustomerID,PurchaseCount,TotalRevenue,FirstPurchase,LastPurchase,IsRepeat,DaysToRepurchase,FirstPurchaseAmount
12346.0,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,False,0,77183.6
12347.0,7,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,True,365,12.6
12348.0,4,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,True,282,13.2
12349.0,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,False,0,17.4
12350.0,1,334.40000000000003,2011-02-02 16:01:00,2011-02-02 16:01:00,False,0,17.4
12352.0,8,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,True,260,17.85
12353.0,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,False,0,17.700000000000003
12354.0,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,False,0,8.5
12355.0,1,459.40000000000003,2011-05-09 13:49:00,2011-05-09 13:49:00,False,0,25.5
12356.0,3,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,True,302,17.4
12357.0,1,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,False,0,118.44
12358.0,2,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,True,149,80.0
12359.0,4,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,True,274,125.0
12360.0,3,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,True,148,15.3
12361.0,1,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,False,0,16.5
12362.0,10,5226.2300000000005,2011-02-17 10:30:00,2011-12-06 15:40:00,True,292,45.0
12363.0,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,True,132,30.0
12364.0,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,True,104,19.8
12365.0,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,True,0,17.4
12367.0,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,False,0,23.4
12370.0,4,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,True,309,2.95
12371.0,2,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,True,14,30.0
12372.0,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,True,224,15.0
12373.0,1,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,False,0,35.400000000000006
12374.0,1,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,False,0,9.96
12375.0,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,True,87,20.8
12377.0,2,1628.1200000000001,2010-12-20 09:37:00,2011-01-28 15:45:00,True,39,7.800000000000001
12378.0,1,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,False,0,14.95
12379.0,2,852.24,2011-06-22 16:32:00,2011-09-19 10:09:00,True,88,40.8
12380.0,4,2724.81,2011-06-07 09:49:00,2011-11-18 11:27:00,True,164,29.5
12381.0,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,True,115,15.8
12383.0,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,True,167,13.2
12384.0,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,True,92,15.0
12386.0,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,True,29,19.8
12388.0,6,2780.6600000000003,2011-01-17 11:12:00,2011-11-24 12:30:00,True,311,14.85
12390.0,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,False,0,23.4
12391.0,1,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,False,0,1.26
12393.0,4,1582.6000000000001,2011-01-11 09:47:00,2011-09-28 15:41:00,True,260,15.0
12394.0,2,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,True,153,33.2
12395.0,12,3018.63,2010-12-03 16:35:00,2011-11-20 15:21:00,True,351,19.8
12397.0,2,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,True,99,10.0
12398.0,1,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,False,0,10.4
12399.0,4,1108.65,2011-03-23 09:42:00,2011-08-12 13:15:00,True,142,15.0
12401.0,1,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,False,0,15.0
12402.0,1,225.60000000000002,2011-01-20 13:49:00,2011-01-20 13:49:00,False,0,9.9
12403.0,1,427.7,2011-10-21 10:51:00,2011-10-21 10:51:00,False,0,9.9
12405.0,1,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,False,0,26.4
12406.0,2,3415.3,2011-06-09 10:23:00,2011-11-17 19:22:00,True,161,25.200000000000003
12407.0,5,1708.12,2011-03-20 13:21:00,2011-10-21 10:11:00,True,214,13.2
12408.0,5,2888.55,2011-03-24 14:46:00,2011-11-07 12:27:00,True,227,14.75
12409.0,3,11072.67,2011-06-10 12:19:00,2011-09-22 10:38:00,True,103,198.0
12410.0,2,693.33,2011-02-04 10:38:00,2011-02-04 10:39:00,True,0,31.8
12412.0,3,1226.88,2011-06-23 13:51:00,2011-09-26 10:16:00,True,94,36.0
12413.0,3,758.1,2011-01-06 16:12:00,2011-10-04 09:00:00,True,270,15.0
12414.0,3,562.4100000000001,2011-02-02 14:51:00,2011-05-06 14:51:00,True,93,40.0
12415.0,21,124914.53,2011-01-06 11:12:00,2011-11-15 14:22:00,True,313,135.0
12417.0,9,3649.1,2010-12-17 11:51:00,2011-12-06 14:52:00,True,354,20.1
12418.0,1,668.58,2011-08-19 11:08:00,2011-08-19 11:08:00,False,0,10.08
12420.0,1,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,False,0,19.9
12421.0,4,807.04,2011-01-24 15:09:00,2011-11-24 09:07:00,True,303,28.0
12422.0,3,803.5600000000001,2011-01-19 09:13:00,2011-09-05 09:48:00,True,229,19.5
12423.0,8,1859.31,2010-12-21 10:54:00,2011-12-09 10:10:00,True,352,45.0
12424.0,2,1760.96,2011-06-30 12:06:00,2011-06-30 12:06:00,True,0,118.8
12425.0,1,777.2,2011-09-22 17:31:00,2011-09-22 17:31:00,False,0,16.5
12426.0,1,582.73,2011-05-29 12:26:00,2011-05-29 12:26:00,False,0,2.5
12427.0,3,825.8000000000001,2010-12-03 10:44:00,2011-11-18 08:56:00,True,349,15.3
12428.0,9,7956.46,2011-03-01 09:33:00,2011-11-14 08:22:00,True,257,15.0
12429.0,4,3750.4,2010-12-09 12:05:00,2011-11-30 17:22:00,True,356,15.0
12430.0,1,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,False,0,40.0
12431.0,15,6487.45,2010-12-01 10:03:00,2011-11-04 11:55:00,True,338,17.0
12432.0,5,5059.32,2011-06-20 13:27:00,2011-10-28 11:43:00,True,129,7.800000000000001
12433.0,7,13375.87,2010-12-01 13:24:00,2011-12-09 10:02:00,True,372,30.0
12434.0,2,806.14,2011-03-24 13:05:00,2011-09-16 12:38:00,True,175,16.5
12435.0,2,7829.89,2011-03-17 07:40:00,2011-09-21 09:06:00,True,188,152.64
12436.0,1,509.01,2011-09-01 12:09:00,2011-09-01 12:09:00,False,0,12.6
12437.0,18,4951.41,2011-01-12 14:13:00,2011-12-08 11:35:00,True,329,87.6
12438.0,2,2906.85,2011-07-22 13:29:00,2011-11-25 13:28:00,True,125,6.8
12441.0,1,173.55,2010-12-08 10:45:00,2010-12-08 10:45:00,False,0,15.0
12442.0,1,172.06,2011-12-06 14:22:00,2011-12-06 14:22:00,False,0,10.2
12444.0,5,5005.46,2011-06-21 14:00:00,2011-11-18 13:23:00,True,149,16.6
12445.0,1,133.4,2011-11-17 18:43:00,2011-11-17 18:43:00,False,0,30.0
12446.0,1,1002.3100000000001,2011-10-13 12:50:00,2011-10-13 12:50:00,False,0,29.700000000000003
12447.0,1,476.49,2011-04-10 13:25:00,2011-04-10 13:25:00,False,0,10.0
12448.0,1,449.45,2011-10-26 13:46:00,2011-10-26 13:46:00,False,0,4.68
12449.0,4,4067.29,2011-06-05 15:37:00,2011-11-17 13:46:00,True,164,90.0
12450.0,2,197.88,2011-06-19 14:36:00,2011-07-06 14:41:00,True,17,10.2
12451.0,5,9035.52,2011-01-19 09:05:00,2011-11-29 08:40:00,True,313,13.2
12452.0,2,430.57000000000005,2011-11-23 08:05:00,2011-11-23 10:28:00,True,0,10.4
12453.0,1,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,False,0,16.5
12454.0,1,3528.34,2011-10-14 17:13:00,2011-10-14 17:13:00,False,0,199.2
12455.0,6,2466.86,2011-02-16 09:56:00,2011-09-27 15:31:00,True,223,46.8
12456.0,3,3181.04,2011-03-30 09:12:00,2011-10-26 14:41:00,True,210,33.0
12457.0,7,2363.23,2011-04-14 18:57:00,2011-10-04 13:13:00,True,172,23.4
12458.0,2,947.4,2011-02-28 10:55:00,2011-09-29 15:25:00,True,213,35.400000000000006
12461.0,2,826.88,2011-07-08 10:23:00,2011-09-06 16:57:00,True,60,17.85
12462.0,2,1189.59,2011-02-09 14:44:00,2011-11-21 09:11:00,True,284,17.700000000000003
12463.0,4,1344.78,2011-04-12 12:47:00,2011-10-17 13:44:00,True,188,23.4
12464.0,8,1212.05,2011-02-03 13:30:00,2011-11-29 13:33:00,True,299,45.0
12465.0,2,742.19,2011-06-23 13:37:00,2011-11-22 16:34:00,True,152,19.8
12468.0,2,729.54,2011-01-27 13:29:00,2011-06-05 11:36:00,True,128,19.8
12471.0,30,19824.05,2010-12-10 09:35:00,2011-12-07 15:43:00,True,362,10.08
12472.0,7,6572.11,2010-12-05 14:19:00,2011-11-07 14:01:00,True,336,10.2
12473.0,5,3938.55,2011-06-01 10:15:00,2011-11-10 13:46:00,True,162,17.700000000000003
12474.0,18,7375.79,2011-01-14 10:06:00,2011-11-22 14:39:00,True,312,18.0
12475.0,1,723.38,2011-10-17 10:10:00,2011-10-17 10:10:00,False,0,13.5
